Data,z1,z2
1,0.291681,-0.6034
1,0.294281,0.491533
1,0.197337,0.640937
1,0.839022,1.469579
1,3.204876,0.879172
1,0.203271,-2.29514
1,-0.99211,1.670464
1,-1.70241,-0.36089
1,-0.14246,0.560808
1,-0.99498,-0.31493
1,0.944697,0.504711
1,-1.2195,-0.09129
1,2.608666,-0.42176
1,-0.12378,-0.08767
1,-1.10423,1.472593
1,-0.27825,-0.94763
1,-2.65608,0.135288
1,2.36528,-1.30494
1,0.411311,-0.21893
1,-2.14662,-1.17849
-1,0.074196,0.239359
-1,-1.51756,-0.21121
-1,1.408476,-0.87591
-1,6.298001,-3.67398
-1,3.802025,-1.99584
-1,6.490673,-2.73143
-1,2.738829,-1.37617
-1,4.958747,-3.94851
-1,5.678092,-3.85838
-1,3.369657,-2.10878
